r, v_phi_cs, cs, vr_cs, sigma, Mdisk, Ew, Mdot_acc, Qtoomre, Mdisk_Menv, Rcj, dlnJ_dlnx, J, factor3
5.195004480670117669e-04,2.938828316322653933e+01,1.098626908454821693e+00,1.601174766573207485e-06,1.178491180939768791e+09,6.103088393262323750e-04,0.000000000000000000e+00,2.294394132805384337e-07,2.160833389932979853e-01,6.662530548476521420e-04,1.998240048087389230e-07,6.842107396663941188e-01,1.835420078853889497e-03,5.032060648754112444e-09
5.869894355505675095e-04,2.876728812025140058e+01,1.080013629430766509e+00,1.801883788510817316e-06,9.765520227535685301e+08,6.385596050625663711e-04,3.765580931120271306e-03,2.376558307533385958e-07,2.186453176140771837e-01,6.970934388643692994e-04,2.331105918493912465e-07,6.862605978845919275e-01,1.995646195966837167e-03,5.969745598957803539e-09
6.544784230341233605e-04,2.823057815051111419e+01,1.063706846963490271e+00,2.002552478033799458e-06,8.260670286806298494e+08,6.651102271469868819e-04,9.682035552675619106e-03,2.453484241592267462e-07,2.209671626024056756e-01,7.260778348488342634e-04,2.673883904261377201e-07,6.880523968471659035e-01,2.150612494975999954e-03,6.950701504603141469e-09
1.067005671886172343e-03,2.599914148396784341e+01,9.935953380016924186e-01,3.231150222958266303e-06,3.901923784019271731e+08,8.024512748190909105e-04,1.418360379361519041e-01,2.847600075708282508e-07,2.318479425549878070e-01,8.760083072118671167e-04,4.945505321704675137e-07,6.956863344299972773e-01,3.016201730883753297e-03,1.374525289726281589e-08
1.631358312444598259e-03,2.427044032870361789e+01,9.366058186039726285e-01,4.923264554774541224e-06,2.037507200619014204e+08,9.500210161053583699e-04,1.203286290255555668e+00,3.265316841154987331e-07,2.419360852430136877e-01,1.037105090675785428e-03,8.426103354076869070e-07,7.017586276892144870e-01,4.057971304417312165e-03,2.481302259591667833e-08
2.522808742964437884e-03,2.266974202455919496e+01,8.816123783905419620e-01,7.627206054941094841e-06,1.047196684224595875e+08,1.135658302740957630e-03,1.015750825641188904e+01,3.784622224356752369e-07,2.529308161079151240e-01,1.239758896986601407e-03,1.454650552729125971e-06,7.074519433781985001e-01,5.517390071608140045e-03,4.544346022511794460e-08
3.897517074824839115e-03,2.122507450011260488e+01,8.300707282893643457e-01,1.186611836060094562e-05,5.398086956799493730e+07,1.363425805557290068e-03,8.670326243138008238e+01,4.414875578615924876e-07,2.645677846143075773e-01,1.488404803400036848e-03,2.505593066877002915e-06,7.125954397853420108e-01,7.514108352143013779e-03,8.300365080326001261e-08
6.027083018594626626e-03,1.990963993204103133e+01,7.815305658298838942e-01,1.857185208713234758e-05,2.782142908570867777e+07,1.644526058993164407e-03,7.407339724993328218e+02,5.185069511638108844e-07,2.769252686563702937e-01,1.795272229368924779e-03,4.317196471948639151e-06,7.172323313334150185e-01,1.026222782210194605e-02,1.516311767794281966e-07
9.325353495470306911e-03,1.870808326088170759e+01,7.358501132252376342e-01,2.922314184893716230e-05,1.434355349090921320e+07,1.991670322683413482e-03,6.340652942696991886e+03,6.127807571814316565e-07,2.900232619125358013e-01,2.174237617469483835e-03,7.438230920147870489e-06,7.213830106324903291e-01,1.404782417861780326e-02,2.769201610193682248e-07
1.443606293034560735e-02,1.760623328471160320e+01,6.928546640059656259e-01,4.621604778135467785e-05,7.396689339262531139e+06,2.420922008091773176e-03,5.435443484144127433e+04,7.284301020139046990e-07,3.038931241272651573e-01,2.642836838509031276e-03,1.281601148614558055e-05,7.250779697882230312e-01,1.927003341424987637e-02,5.056229030756377587e-07
2.235611332063009923e-02,1.659228129595648227e+01,6.523912442715193993e-01,7.342751864480012160e-05,3.815602697881039698e+06,2.952157963561382985e-03,4.664465176601424464e+05,8.705489907278168838e-07,3.185642436172312353e-01,3.222768760463952213e-03,2.208152307396022830e-05,7.283504806963645439e-01,2.648107627899020169e-02,9.229261435564848219e-07
3.462405712477731323e-02,1.565646827325639912e+01,6.143288609841816017e-01,1.171245466517548941e-04,1.969626564450904727e+06,3.609792481982271057e-03,4.003201542124048341e+06,1.045387929300539701e-06,3.340613646272611037e-01,3.940685622613434094e-03,3.803542807356978018e-05,7.312351744407519227e-01,3.644162888455064475e-02,1.683600312253803399e-06
5.358217714254866204e-02,1.479147839323545277e+01,5.785859769778275430e-01,1.873325639265851583e-04,1.018639997936792206e+06,4.422768096743622326e-03,3.426017045294788480e+07,1.260343867458132401e-06,3.503876312550440186e-01,4.828182987798846498e-03,6.543603104935517302e-05,7.337651309638286712e-01,5.017934027129222069e-02,3.065978818352123861e-06
8.265460760100676318e-02,1.399366715006751605e+01,5.451930769897378459e-01,2.995416455261706141e-04,5.296969135915179504e+05,5.421826936942373762e-03,2.897880465712116957e+08,1.523241787617144973e-06,3.674777426809048841e-01,5.918820975264024037e-03,1.121118471948853420e-04,7.359678576386775584e-01,6.900396478118896171e-02,5.555777719425616679e-06
1.264178288615435131e-01,1.326422287974656555e+01,5.143528429465861196e-01,4.758748721071971049e-04,2.791556207919293083e+05,6.631458809654037188e-03,2.367626760391522408e+09,1.840244009698092001e-06,3.851245885360312649e-01,7.239334260513098120e-03,1.900509641647076930e-04,7.378632116536435470e-01,9.437922070940149566e-02,9.945731706049774988e-06
1.904805689465479124e-01,1.260504383467821299e+01,4.862719705203329412e-01,7.455292711764461904e-04,1.505377399291547772e+05,8.065154887936099373e-03,1.803072206699812317e+10,2.214658657022649666e-06,4.030253962285807456e-01,8.804450690635668569e-03,3.162600655919921896e-04,7.394749324048652817e-01,1.277613173240659261e-01,1.743635959862695496e-05
2.820660966955285676e-01,1.201111678283199602e+01,4.608333899446990234e-01,1.148200441125038886e-03,8.335988572992596892e+04,9.739134944356388213e-03,1.255048087175712128e+11,2.650552666944739584e-06,4.210087265170677773e-01,1.063187683044928070e-02,5.151219467297197966e-04,7.408457871753000301e-01,1.708454123027818850e-01,2.984068579130329141e-05
4.112491951521409228e-01,1.147222959103895334e+01,4.376667307985816491e-01,1.741189863061521313e-03,4.726641578932754055e+04,1.168429811309817240e-02,8.046373985911101074e+11,3.155834270004965242e-06,4.390875219277701191e-01,1.275534419622113488e-02,8.231508056659033812e-04,7.420275158682441141e-01,2.259547784708868801e-01,4.998190857402902946e-05
5.923377681396377881e-01,1.097794858200984081e+01,4.163675889741116354e-01,2.608667038953097102e-03,2.730359656066155367e+04,1.394698965968967780e-02,4.839862679465563477e+12,3.742412371395748652e-06,4.573659605662868666e-01,1.522544631166620165e-02,1.295927903152227154e-03,7.430676450932641730e-01,2.962733832954406177e-01,8.231500886147787683e-05
8.457059835425165817e-01,1.051956952112399790e+01,3.965894788707186591e-01,3.874959319094966465e-03,1.598552340534893301e+04,1.658870771213101850e-02,2.781839089873182031e+13,4.426101723709238757e-06,4.759775426969292123e-01,1.810931855645998845e-02,2.018672602426602528e-03,7.440068215270974061e-01,3.860856537918604947e-01,1.339171813020321696e-04
1.200252643877943282e+00,1.009053002873108085e+01,3.780675701382423815e-01,5.723601884832011516e-03,9.445772309532287181e+03,1.968585673099756267e-02,1.550600268770014062e+14,5.226558056849109408e-06,4.950509859515504485e-01,2.149036903807563514e-02,3.122242025422218049e-03,7.448805595247200984e-01,5.010501319706761603e-01,2.160498281272242159e-04
1.696794487767128157e+00,9.686144667161721955e+00,3.606108354195329824e-01,8.425053571005376718e-03,5.615653177993059217e+03,2.333047222392159448e-02,8.471833003074603750e+14,6.167480094934642232e-06,5.146968710311663475e-01,2.546906973752222775e-02,4.807520955268629846e-03,7.457225329020588100e-01,6.485509086478552510e-01,3.466254654862766221e-04
2.392816306443515284e+00,9.303158062596219580e+00,3.440846223735737897e-01,1.237737159924830709e-02,3.351904897053788773e+03,2.763220391427180164e-02,4.570046675554645000e+15,7.277153437117102244e-06,5.350058918968003674e-01,3.016512146601239147e-02,7.382798911800497396e-03,7.465682648769341734e-01,8.381661693629066656e-01,5.541094382236988686e-04
